Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN,Threshold
XLM-RoBERTa,3,LegalReform,0.3315508021390374,0.08946608946608947,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1179,0.5
XLM-RoBERTa,3,CivilSocietyAssistance,0.3315508021390374,0.08946608946608947,0.0,0.0,0.0,1.0,0.0,1.0,0,0,33,1172,0.5
XLM-RoBERTa,4,PoliceReform,0.3916083916083916,0.15772594752186592,0.5285714285714286,0.7047619047619048,0.05994550408719346,0.29523809523809524,0.7047619047619048,0.9400544959128065,74,66,31,1035,0.5
XLM-RoBERTa,4,Operations_PatrolsInterventions,0.3916083916083916,0.15772594752186592,1.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,10,0,20,1176,0.5
XLM-RoBERTa,4,StateAdministration,0.3916083916083916,0.15772594752186592,0.0,0.0,0.0,1.0,0.0,1.0,0,0,44,1162,0.5
XLM-RoBERTa,4,RefugeeAssistance,0.3916083916083916,0.15772594752186592,0.0,0.0,0.0,1.0,0.0,1.0,0,0,21,1185,0.5
XLM-RoBERTa,4,ElectionAssistance,0.3916083916083916,0.15772594752186592,0.0,0.0,0.0,1.0,0.0,1.0,0,0,22,1184,0.5
XLM-RoBERTa,4,LegalReform,0.3916083916083916,0.15772594752186592,0.0,0.0,0.0,1.0,0.0,1.0,0,0,25,1181,0.5
XLM-RoBERTa,4,CivilSocietyAssistance,0.3916083916083916,0.15772594752186592,0.0,0.0,0.0,1.0,0.0,1.0,0,0,32,1174,0.5
XLM-RoBERTa,5,PoliceReform,0.34375,0.10662274618585298,0.6336633663366337,0.6095238095238096,0.03360581289736603,0.3904761904761905,0.6095238095238096,0.9663941871026339,64,37,41,1064,0.5
XLM-RoBERTa,5,Operations_PatrolsInterventions,0.34375,0.10662274618585298,1.0,0.06666666666666667,0.0,0.9333333333333333,0.06666666666666667,1.0,2,0,28,1176,0.5
XLM-RoBERTa,5,StateAdministration,0.34375,0.10662274618585298,0.0,0.0,0.0,1.0,0.0,1.0,0,0,44,1162,0.5
XLM-RoBERTa,5,RefugeeAssistance,0.34375,0.10662274618585298,0.0,0.0,0.0,1.0,0.0,1.0,0,0,21,1185,0.5
XLM-RoBERTa,5,ElectionAssistance,0.34375,0.10662274618585298,0.0,0.0,0.0,1.0,0.0,1.0,0,0,23,1183,0.5
XLM-RoBERTa,5,LegalReform,0.34375,0.10662274618585298,0.0,0.0,0.0,1.0,0.0,1.0,0,0,26,1180,0.5
XLM-RoBERTa,5,CivilSocietyAssistance,0.34375,0.10662274618585298,0.0,0.0,0.0,1.0,0.0,1.0,0,0,32,1174,0.5
