Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN
Logistic Regression,2,ElectionAssistance,0.5297741273100616,0.49954349456113445,0.7142857142857143,0.45454545454545453,0.0033783783783783786,0.5454545454545454,0.45454545454545453,0.9966216216216216,10,4,12,1180
Logistic Regression,2,LegalReform,0.5297741273100616,0.49954349456113445,0.4117647058823529,0.2692307692307692,0.00847457627118644,0.7307692307692307,0.2692307692307692,0.9915254237288136,7,10,19,1170
Logistic Regression,2,CivilSocietyAssistance,0.5297741273100616,0.49954349456113445,0.44,0.34375,0.01192504258943782,0.65625,0.34375,0.9880749574105622,11,14,21,1160
Logistic Regression,3,PoliceReform,0.4727272727272727,0.4533402866792476,0.5333333333333333,0.45714285714285713,0.03814713896457766,0.5428571428571428,0.45714285714285713,0.9618528610354223,48,42,57,1059
Logistic Regression,3,Operations_PatrolsInterventions,0.4727272727272727,0.4533402866792476,0.6666666666666666,0.5333333333333333,0.006802721088435374,0.4666666666666667,0.5333333333333333,0.9931972789115646,16,8,14,1168
Logistic Regression,3,StateAdministration,0.4727272727272727,0.4533402866792476,0.65625,0.4772727272727273,0.00946643717728055,0.5227272727272727,0.4772727272727273,0.9905335628227194,21,11,23,1151
Logistic Regression,3,RefugeeAssistance,0.4727272727272727,0.4533402866792476,0.5,0.25,0.0042158516020236085,0.75,0.25,0.9957841483979764,5,5,15,1181
Logistic Regression,3,ElectionAssistance,0.4727272727272727,0.4533402866792476,0.5294117647058824,0.4090909090909091,0.006756756756756757,0.5909090909090909,0.4090909090909091,0.9932432432432432,9,8,13,1176
Logistic Regression,3,LegalReform,0.4727272727272727,0.4533402866792476,0.5882352941176471,0.38461538461538464,0.005932203389830509,0.6153846153846154,0.38461538461538464,0.9940677966101695,10,7,16,1173
Logistic Regression,3,CivilSocietyAssistance,0.4727272727272727,0.4533402866792476,0.32,0.24242424242424243,0.014492753623188406,0.7575757575757576,0.24242424242424243,0.9855072463768116,8,17,25,1156
Logistic Regression,4,PoliceReform,0.497907949790795,0.48629529932665816,0.676056338028169,0.45714285714285713,0.02089009990917348,0.5428571428571428,0.45714285714285713,0.9791099000908265,48,23,57,1078
Logistic Regression,4,Operations_PatrolsInterventions,0.497907949790795,0.48629529932665816,0.8095238095238095,0.5666666666666667,0.003401360544217687,0.43333333333333335,0.5666666666666667,0.9965986394557823,17,4,13,1172
Logistic Regression,4,StateAdministration,0.497907949790795,0.48629529932665816,0.5161290322580645,0.36363636363636365,0.012908777969018933,0.6363636363636364,0.36363636363636365,0.9870912220309811,16,15,28,1147
Logistic Regression,4,RefugeeAssistance,0.497907949790795,0.48629529932665816,0.5882352941176471,0.5,0.005902192242833052,0.5,0.5,0.9940978077571669,10,7,10,1179
Logistic Regression,4,ElectionAssistance,0.497907949790795,0.48629529932665816,0.5,0.391304347826087,0.0076077768385460695,0.6086956521739131,0.391304347826087,0.9923922231614539,9,9,14,1174
Logistic Regression,4,LegalReform,0.497907949790795,0.48629529932665816,0.5294117647058824,0.36,0.006773920406435224,0.64,0.36,0.9932260795935648,9,8,16,1173
Logistic Regression,4,CivilSocietyAssistance,0.497907949790795,0.48629529932665816,0.4166666666666667,0.3125,0.01192504258943782,0.6875,0.3125,0.9880749574105622,10,14,22,1160
Logistic Regression,5,PoliceReform,0.48148148148148145,0.46699526594263435,0.5647058823529412,0.45714285714285713,0.03363636363636364,0.5428571428571428,0.45714285714285713,0.9663636363636363,48,37,57,1063
Logistic Regression,5,Operations_PatrolsInterventions,0.48148148148148145,0.46699526594263435,0.7368421052631579,0.45161290322580644,0.004258943781942078,0.5483870967741935,0.45161290322580644,0.995741056218058,14,5,17,1169
Logistic Regression,5,StateAdministration,0.48148148148148145,0.46699526594263435,0.6551724137931034,0.4418604651162791,0.008605851979345954,0.5581395348837209,0.4418604651162791,0.9913941480206541,19,10,24,1152
Logistic Regression,5,RefugeeAssistance,0.48148148148148145,0.46699526594263435,0.4,0.2857142857142857,0.007601351351351352,0.7142857142857143,0.2857142857142857,0.9923986486486487,6,9,15,1175
Logistic Regression,5,ElectionAssistance,0.48148148148148145,0.46699526594263435,0.7692307692307693,0.43478260869565216,0.0025380710659898475,0.5652173913043478,0.43478260869565216,0.9974619289340102,10,3,13,1179
Logistic Regression,5,LegalReform,0.48148148148148145,0.46699526594263435,0.45454545454545453,0.38461538461538464,0.010178117048346057,0.6153846153846154,0.38461538461538464,0.989821882951654,10,12,16,1167
Logistic Regression,5,CivilSocietyAssistance,0.48148148148148145,0.46699526594263435,0.45454545454545453,0.3125,0.010230179028132993,0.6875,0.3125,0.989769820971867,10,12,22,1161
Balanced Logistic Regression,1,PoliceReform,0.45374449339207046,0.4248284277315955,0.42786069651741293,0.819047619047619,0.10454545454545454,0.18095238095238095,0.819047619047619,0.8954545454545455,86,115,19,985
Balanced Logistic Regression,1,Operations_PatrolsInterventions,0.45374449339207046,0.4248284277315955,0.38028169014084506,0.9,0.0374468085106383,0.1,0.9,0.9625531914893617,27,44,3,1131
Balanced Logistic Regression,1,StateAdministration,0.45374449339207046,0.4248284277315955,0.2692307692307692,0.6363636363636364,0.06546080964685616,0.36363636363636365,0.6363636363636364,0.9345391903531438,28,76,16,1085
Balanced Logistic Regression,1,RefugeeAssistance,0.45374449339207046,0.4248284277315955,0.3409090909090909,0.75,0.024472573839662448,0.25,0.75,0.9755274261603376,15,29,5,1156
Balanced Logistic Regression,1,ElectionAssistance,0.45374449339207046,0.4248284277315955,0.1791044776119403,0.5454545454545454,0.04649196956889264,0.45454545454545453,0.5454545454545454,0.9535080304311073,12,55,10,1128
Balanced Logistic Regression,1,LegalReform,0.45374449339207046,0.4248284277315955,0.27586206896551724,0.6153846153846154,0.035623409669211195,0.38461538461538464,0.6153846153846154,0.9643765903307888,16,42,10,1137
Balanced Logistic Regression,1,CivilSocietyAssistance,0.45374449339207046,0.4248284277315955,0.2619047619047619,0.6875,0.05285592497868713,0.3125,0.6875,0.9471440750213129,22,62,10,1111
Balanced Logistic Regression,2,PoliceReform,0.4454054054054054,0.4276291110293534,0.44,0.7333333333333333,0.08900999091734786,0.26666666666666666,0.7333333333333333,0.9109900090826522,77,98,28,1003
