Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN,Threshold
XLM-RoBERTa-improved,3,StateAdministration,0.5412667946257198,0.4818880832020504,0.5806451612903226,0.4186046511627907,0.011187607573149742,0.5813953488372093,0.4186046511627907,0.9888123924268503,18,13,25,1149,0.7500000000000001
XLM-RoBERTa-improved,3,RefugeeAssistance,0.5412667946257198,0.4818880832020504,0.38461538461538464,0.23809523809523808,0.006756756756756757,0.7619047619047619,0.23809523809523808,0.9932432432432432,5,8,16,1176,0.6000000000000001
XLM-RoBERTa-improved,3,ElectionAssistance,0.5412667946257198,0.4818880832020504,0.6666666666666666,0.6363636363636364,0.005917159763313609,0.36363636363636365,0.6363636363636364,0.9940828402366864,14,7,8,1176,0.7500000000000001
XLM-RoBERTa-improved,3,LegalReform,0.5412667946257198,0.4818880832020504,0.4,0.07692307692307693,0.002544529262086514,0.9230769230769231,0.07692307692307693,0.9974554707379135,2,3,24,1176,0.8
XLM-RoBERTa-improved,3,CivilSocietyAssistance,0.5412667946257198,0.4818880832020504,0.45454545454545453,0.45454545454545453,0.015358361774744027,0.5454545454545454,0.45454545454545453,0.984641638225256,15,18,18,1154,0.7000000000000001
XLM-RoBERTa-improved,4,PoliceReform,0.5181674565560821,0.480733462719761,0.5032679738562091,0.7333333333333333,0.06902815622161672,0.26666666666666666,0.7333333333333333,0.9309718437783833,77,76,28,1025,0.8500000000000001
XLM-RoBERTa-improved,4,Operations_PatrolsInterventions,0.5181674565560821,0.480733462719761,0.71875,0.7666666666666667,0.007653061224489796,0.23333333333333334,0.7666666666666667,0.9923469387755102,23,9,7,1167,0.9000000000000001
XLM-RoBERTa-improved,4,StateAdministration,0.5181674565560821,0.480733462719761,0.5,0.4772727272727273,0.018072289156626505,0.5227272727272727,0.4772727272727273,0.9819277108433735,21,21,23,1141,0.7500000000000001
XLM-RoBERTa-improved,4,RefugeeAssistance,0.5181674565560821,0.480733462719761,0.13157894736842105,0.23809523809523808,0.027848101265822784,0.7619047619047619,0.23809523809523808,0.9721518987341772,5,33,16,1152,0.6500000000000001
XLM-RoBERTa-improved,4,ElectionAssistance,0.5181674565560821,0.480733462719761,0.5833333333333334,0.6363636363636364,0.008445945945945946,0.36363636363636365,0.6363636363636364,0.9915540540540541,14,10,8,1174,0.9000000000000001
XLM-RoBERTa-improved,4,LegalReform,0.5181674565560821,0.480733462719761,0.1935483870967742,0.24,0.021168501270110076,0.76,0.24,0.97883149872989,6,25,19,1156,0.8
XLM-RoBERTa-improved,4,CivilSocietyAssistance,0.5181674565560821,0.480733462719761,0.5294117647058824,0.5625,0.013628620102214651,0.4375,0.5625,0.9863713798977853,18,16,14,1158,0.8500000000000001
XLM-RoBERTa-improved,5,PoliceReform,0.4889589905362776,0.45449004169086915,0.5849056603773585,0.5904761904761905,0.03996366939146231,0.4095238095238095,0.5904761904761905,0.9600363306085377,62,44,43,1057,0.9000000000000001
XLM-RoBERTa-improved,5,Operations_PatrolsInterventions,0.4889589905362776,0.45449004169086915,0.6333333333333333,0.6333333333333333,0.00935374149659864,0.36666666666666664,0.6333333333333333,0.9906462585034014,19,11,11,1165,0.8500000000000001
XLM-RoBERTa-improved,5,StateAdministration,0.4889589905362776,0.45449004169086915,0.631578947368421,0.5454545454545454,0.012048192771084338,0.45454545454545453,0.5454545454545454,0.9879518072289156,24,14,20,1148,0.9000000000000001
XLM-RoBERTa-improved,5,RefugeeAssistance,0.4889589905362776,0.45449004169086915,0.23076923076923078,0.14285714285714285,0.008438818565400843,0.8571428571428571,0.14285714285714285,0.9915611814345991,3,10,18,1175,0.7500000000000001
XLM-RoBERTa-improved,5,ElectionAssistance,0.4889589905362776,0.45449004169086915,0.4358974358974359,0.7391304347826086,0.018596787827557058,0.2608695652173913,0.7391304347826086,0.981403212172443,17,22,6,1161,0.8
XLM-RoBERTa-improved,5,LegalReform,0.4889589905362776,0.45449004169086915,0.2553191489361702,0.46153846153846156,0.029661016949152543,0.5384615384615384,0.46153846153846156,0.9703389830508474,12,35,14,1145,0.7000000000000001
XLM-RoBERTa-improved,5,CivilSocietyAssistance,0.4889589905362776,0.45449004169086915,0.225,0.5625,0.05281090289608177,0.4375,0.5625,0.9471890971039182,18,62,14,1112,0.6000000000000001
