Model,Fold,Label,F1_micro,F1_macro,Precision,Recall,FPR,FNR,TPR,TNR,TP,FP,FN,TN
Logistic Regression,2,LegalReform,0.5,0.45971601456233235,0.6363636363636364,0.2692307692307692,0.003389830508474576,0.7307692307692307,0.2692307692307692,0.9966101694915255,7,4,19,1176
Logistic Regression,2,CivilSocietyAssistance,0.5,0.45971601456233235,0.45,0.28125,0.009369676320272573,0.71875,0.28125,0.9906303236797275,9,11,23,1163
Logistic Regression,3,PoliceReform,0.46443514644351463,0.4518620093887423,0.5287356321839081,0.4380952380952381,0.03723887375113533,0.5619047619047619,0.4380952380952381,0.9627611262488647,46,41,59,1060
Logistic Regression,3,Operations_PatrolsInterventions,0.46443514644351463,0.4518620093887423,0.7142857142857143,0.5,0.00510204081632653,0.5,0.5,0.9948979591836735,15,6,15,1170
Logistic Regression,3,StateAdministration,0.46443514644351463,0.4518620093887423,0.6666666666666666,0.4090909090909091,0.00774526678141136,0.5909090909090909,0.4090909090909091,0.9922547332185886,18,9,26,1153
Logistic Regression,3,RefugeeAssistance,0.46443514644351463,0.4518620093887423,0.6666666666666666,0.3,0.002529510961214165,0.7,0.3,0.9974704890387859,6,3,14,1183
Logistic Regression,3,ElectionAssistance,0.46443514644351463,0.4518620093887423,0.5555555555555556,0.45454545454545453,0.006756756756756757,0.5454545454545454,0.45454545454545453,0.9932432432432432,10,8,12,1176
Logistic Regression,3,LegalReform,0.46443514644351463,0.4518620093887423,0.4666666666666667,0.2692307692307692,0.006779661016949152,0.7307692307692307,0.2692307692307692,0.9932203389830508,7,8,19,1172
Logistic Regression,3,CivilSocietyAssistance,0.46443514644351463,0.4518620093887423,0.42857142857142855,0.2727272727272727,0.010230179028132993,0.7272727272727273,0.2727272727272727,0.989769820971867,9,12,24,1161
Logistic Regression,4,PoliceReform,0.4749455337690632,0.4437166026378713,0.7419354838709677,0.4380952380952381,0.014532243415077202,0.5619047619047619,0.4380952380952381,0.9854677565849228,46,16,59,1085
Logistic Regression,4,Operations_PatrolsInterventions,0.4749455337690632,0.4437166026378713,0.8235294117647058,0.4666666666666667,0.002551020408163265,0.5333333333333333,0.4666666666666667,0.9974489795918368,14,3,16,1173
Logistic Regression,4,StateAdministration,0.4749455337690632,0.4437166026378713,0.5925925925925926,0.36363636363636365,0.00946643717728055,0.6363636363636364,0.36363636363636365,0.9905335628227194,16,11,28,1151
Logistic Regression,4,RefugeeAssistance,0.4749455337690632,0.4437166026378713,0.4,0.3,0.007588532883642495,0.7,0.3,0.9924114671163575,6,9,14,1177
Logistic Regression,4,ElectionAssistance,0.4749455337690632,0.4437166026378713,0.5,0.34782608695652173,0.006762468300929839,0.6521739130434783,0.34782608695652173,0.9932375316990701,8,8,15,1175
Logistic Regression,4,LegalReform,0.4749455337690632,0.4437166026378713,0.4,0.32,0.010160880609652836,0.68,0.32,0.9898391193903472,8,12,17,1169
Logistic Regression,4,CivilSocietyAssistance,0.4749455337690632,0.4437166026378713,0.4782608695652174,0.34375,0.010221465076660987,0.65625,0.34375,0.989778534923339,11,12,21,1162
Logistic Regression,5,PoliceReform,0.4827586206896552,0.4665448702715783,0.5875,0.44761904761904764,0.03,0.5523809523809524,0.44761904761904764,0.97,47,33,58,1067
Logistic Regression,5,Operations_PatrolsInterventions,0.4827586206896552,0.4665448702715783,0.8666666666666667,0.41935483870967744,0.0017035775127768314,0.5806451612903226,0.41935483870967744,0.9982964224872232,13,2,18,1172
Logistic Regression,5,StateAdministration,0.4827586206896552,0.4665448702715783,0.782608695652174,0.4186046511627907,0.004302925989672977,0.5813953488372093,0.4186046511627907,0.995697074010327,18,5,25,1157
Logistic Regression,5,RefugeeAssistance,0.4827586206896552,0.4665448702715783,0.42857142857142855,0.2857142857142857,0.006756756756756757,0.7142857142857143,0.2857142857142857,0.9932432432432432,6,8,15,1176
Logistic Regression,5,ElectionAssistance,0.4827586206896552,0.4665448702715783,0.7142857142857143,0.43478260869565216,0.00338409475465313,0.5652173913043478,0.43478260869565216,0.9966159052453468,10,4,13,1178
Logistic Regression,5,LegalReform,0.4827586206896552,0.4665448702715783,0.5714285714285714,0.3076923076923077,0.005089058524173028,0.6923076923076923,0.3076923076923077,0.9949109414758269,8,6,18,1173
Logistic Regression,5,CivilSocietyAssistance,0.4827586206896552,0.4665448702715783,0.43478260869565216,0.3125,0.011082693947144074,0.6875,0.3125,0.9889173060528559,10,13,22,1160
Balanced Logistic Regression,1,PoliceReform,0.5186136071887034,0.49592331598254313,0.4673913043478261,0.819047619047619,0.0890909090909091,0.18095238095238095,0.819047619047619,0.9109090909090909,86,98,19,1002
Balanced Logistic Regression,1,Operations_PatrolsInterventions,0.5186136071887034,0.49592331598254313,0.4426229508196721,0.9,0.02893617021276596,0.1,0.9,0.971063829787234,27,34,3,1141
Balanced Logistic Regression,1,StateAdministration,0.5186136071887034,0.49592331598254313,0.36923076923076925,0.5454545454545454,0.03531438415159346,0.45454545454545453,0.5454545454545454,0.9646856158484065,24,41,20,1120
Balanced Logistic Regression,1,RefugeeAssistance,0.5186136071887034,0.49592331598254313,0.48,0.6,0.010970464135021098,0.4,0.6,0.9890295358649789,12,13,8,1172
Balanced Logistic Regression,1,ElectionAssistance,0.5186136071887034,0.49592331598254313,0.30357142857142855,0.7727272727272727,0.03296703296703297,0.22727272727272727,0.7727272727272727,0.967032967032967,17,39,5,1144
Balanced Logistic Regression,1,LegalReform,0.5186136071887034,0.49592331598254313,0.38461538461538464,0.5769230769230769,0.020356234096692113,0.4230769230769231,0.5769230769230769,0.9796437659033079,15,24,11,1155
Balanced Logistic Regression,1,CivilSocietyAssistance,0.5186136071887034,0.49592331598254313,0.3,0.65625,0.041773231031543054,0.34375,0.65625,0.9582267689684569,21,49,11,1124
Balanced Logistic Regression,2,PoliceReform,0.5269922879177378,0.5074325226715133,0.4764705882352941,0.7714285714285715,0.08083560399636694,0.22857142857142856,0.7714285714285715,0.9191643960036331,81,89,24,1012
Balanced Logistic Regression,2,Operations_PatrolsInterventions,0.5269922879177378,0.5074325226715133,0.3888888888888889,0.7,0.02806122448979592,0.3,0.7,0.9719387755102041,21,33,9,1143
Balanced Logistic Regression,2,StateAdministration,0.5269922879177378,0.5074325226715133,0.4153846153846154,0.6136363636363636,0.03270223752151463,0.38636363636363635,0.6136363636363636,0.9672977624784854,27,38,17,1124
Balanced Logistic Regression,2,RefugeeAssistance,0.5269922879177378,0.5074325226715133,0.2916666666666667,0.6666666666666666,0.02869198312236287,0.3333333333333333,0.6666666666666666,0.9713080168776371,14,34,7,1151
Balanced Logistic Regression,2,ElectionAssistance,0.5269922879177378,0.5074325226715133,0.42857142857142855,0.8181818181818182,0.02027027027027027,0.18181818181818182,0.8181818181818182,0.9797297297297297,18,24,4,1160
Balanced Logistic Regression,2,LegalReform,0.5269922879177378,0.5074325226715133,0.3888888888888889,0.8076923076923077,0.027966101694915254,0.19230769230769232,0.8076923076923077,0.9720338983050848,21,33,5,1147
Balanced Logistic Regression,2,CivilSocietyAssistance,0.5269922879177378,0.5074325226715133,0.359375,0.696969696969697,0.03495311167945439,0.30303030303030304,0.696969696969697,0.9650468883205456,23,41,10,1132
Balanced Logistic Regression,3,PoliceReform,0.5256064690026954,0.5036838019111961,0.49673202614379086,0.7238095238095238,0.06993642143505904,0.2761904761904762,0.7238095238095238,0.9300635785649409,76,77,29,1024
Balanced Logistic Regression,3,Operations_PatrolsInterventions,0.5256064690026954,0.5036838019111961,0.5,0.7,0.017857142857142856,0.3,0.7,0.9821428571428571,21,21,9,1155
Balanced Logistic Regression,3,StateAdministration,0.5256064690026954,0.5036838019111961,0.4126984126984127,0.6046511627906976,0.03181427343078246,0.3953488372093023,0.6046511627906976,0.9681857265692175,26,37,17,1126
Balanced Logistic Regression,3,RefugeeAssistance,0.5256064690026954,0.5036838019111961,0.30952380952380953,0.6190476190476191,0.024472573839662448,0.38095238095238093,0.6190476190476191,0.9755274261603376,13,29,8,1156
Balanced Logistic Regression,3,ElectionAssistance,0.5256064690026954,0.5036838019111961,0.375,0.782608695652174,0.0253592561284869,0.21739130434782608,0.782608695652174,0.9746407438715131,18,30,5,1153
Balanced Logistic Regression,3,LegalReform,0.5256064690026954,0.5036838019111961,0.36585365853658536,0.5769230769230769,0.022033898305084745,0.4230769230769231,0.5769230769230769,0.9779661016949153,15,26,11,1154
Balanced Logistic Regression,3,CivilSocietyAssistance,0.5256064690026954,0.5036838019111961,0.3561643835616438,0.8125,0.04003407155025554,0.1875,0.8125,0.9599659284497445,26,47,6,1127
Balanced Logistic Regression,4,PoliceReform,0.5228758169934641,0.5014895822253531,0.45251396648044695,0.7714285714285715,0.08900999091734786,0.22857142857142856,0.7714285714285715,0.9109900090826522,81,98,24,1003
Balanced Logistic Regression,4,Operations_PatrolsInterventions,0.5228758169934641,0.5014895822253531,0.5106382978723404,0.8,0.0195578231292517,0.2,0.8,0.9804421768707483,24,23,6,1153
Balanced Logistic Regression,4,StateAdministration,0.5228758169934641,0.5014895822253531,0.48148148148148145,0.5909090909090909,0.024096385542168676,0.4090909090909091,0.5909090909090909,0.9759036144578314,26,28,18,1134
Balanced Logistic Regression,4,RefugeeAssistance,0.5228758169934641,0.5014895822253531,0.2857142857142857,0.5714285714285714,0.02531645569620253,0.42857142857142855,0.5714285714285714,0.9746835443037974,12,30,9,1155
Balanced Logistic Regression,4,ElectionAssistance,0.5228758169934641,0.5014895822253531,0.3673469387755102,0.782608695652174,0.026204564666103127,0.21739130434782608,0.782608695652174,0.9737954353338969,18,31,5,1152
Balanced Logistic Regression,4,LegalReform,0.5228758169934641,0.5014895822253531,0.2962962962962963,0.64,0.03217612193056731,0.36,0.64,0.9678238780694327,16,38,9,1143
Balanced Logistic Regression,4,CivilSocietyAssistance,0.5228758169934641,0.5014895822253531,0.38333333333333336,0.71875,0.03151618398637138,0.28125,0.71875,0.9684838160136287,23,37,9,1137
Balanced Logistic Regression,5,PoliceReform,0.531130876747141,0.5008679765842752,0.5159235668789809,0.7714285714285715,0.06902815622161672,0.22857142857142856,0.7714285714285715,0.9309718437783833,81,76,24,1025
Balanced Logistic Regression,5,Operations_PatrolsInterventions,0.531130876747141,0.5008679765842752,0.41379310344827586,0.7741935483870968,0.02893617021276596,0.22580645161290322,0.7741935483870968,0.971063829787234,24,34,7,1141
Balanced Logistic Regression,5,StateAdministration,0.531130876747141,0.5008679765842752,0.37777777777777777,0.7727272727272727,0.04819277108433735,0.22727272727272727,0.7727272727272727,0.9518072289156626,34,56,10,1106
